preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
2,0.500163699998666,10.0018263000002,14.0018806999997,16.5020212999989,20,1,L2_H1_S1,L1_H0_S1
0,NaN,14.0018806999997,18.0019296999999,1.48984989999917,1,21,L1_H0_S1,L2_H1_S2
2,0.427901199998814,18.0019296999999,22.0019730000004,24.4298559999988,21,11,L2_H1_S2,L1_H1_S3
0,NaN,22.0019730000004,26.0020212999989,1.48968500000046,11,13,L1_H1_S3,L2_H0_S1
2,0.563902799998687,26.0020212999989,30.0020386999986,32.5659230999991,13,33,L2_H0_S1,L3_H1_S2
0,NaN,30.0020386999986,34.0020862000001,1.4896174000005,33,22,L3_H1_S2,L2_H1_S2
1,0.571835500000816,34.0020862000001,38.0021383000003,40.5739572000002,22,14,L2_H1_S2,L2_H0_S1
0,NaN,38.0021383000003,42.0022747999992,1.48952449999888,14,41,L2_H0_S1,
0,NaN,42.0022747999992,46.0022654000004,1.48946179999984,41,17,,L2_H0_S3
2,0.587649299999612,46.0022654000004,50.0023298999986,52.5899487999995,17,31,L2_H0_S3,L3_H1_S1
0,NaN,50.0023298999986,54.0023543999996,1.48934039999949,31,43,L3_H1_S1,
0,NaN,54.0023543999996,58.0024159999994,1.48932479999894,43,28,,L3_H0_S2
0,NaN,58.0024159999994,62.0025351999993,1.48924690000058,28,37,L3_H0_S2,
2,0.619266900001094,62.0025351999993,66.0025119000002,68.6218067999998,37,32,,L3_H1_S1
0,NaN,66.0025119000002,70.002561199999,1.48912790000031,32,40,L3_H1_S1,
0,NaN,70.002561199999,74.0026516999988,1.49261010000009,40,30,,L3_H0_S3
1,0.531189399998766,74.0026516999988,78.0027109000002,80.533831499999,30,26,L3_H0_S3,L3_H0_S1
0,NaN,78.0027109000002,82.0026796000002,1.48903799999971,26,27,L3_H0_S1,L3_H0_S2
2,0.563206700000592,82.0026796000002,86.0027291999995,88.5659161000003,27,35,L3_H0_S2,L3_H1_S3
0,NaN,86.0027291999995,90.0027690999996,1.48892009999872,35,38,L3_H1_S3,
0,NaN,90.0027690999996,94.0028536999998,1.48882670000057,38,8,,L1_H1_S1
2,0.778962100001081,94.0028536999998,98.0028935999999,100.7818494,8,4,L1_H1_S1,L1_H0_S2
0,NaN,98.0028935999999,102.0029755,1.48881079999956,4,18,L1_H0_S2,L2_H0_S3
1,0.610958400000527,102.0029755,106.003000499999,108.6139351,18,34,L2_H0_S3,L3_H1_S2
0,NaN,106.003000499999,110.003049499999,1.48868679999941,34,29,L3_H1_S2,L3_H0_S3
2,0.538781400000516,110.003049499999,114.0030986,116.5418668,29,36,L3_H0_S3,L3_H1_S3
0,NaN,114.0030986,118.003224099999,1.48857239999961,36,39,L3_H1_S3,
0,NaN,118.003224099999,122.003186899999,1.48852339999939,39,16,,L2_H0_S2
1,0.650614199999836,122.003186899999,126.0032276,128.653860999999,16,2,L2_H0_S2,L1_H0_S1
0,NaN,126.0032276,130.003297699999,1.48844719999943,2,23,L1_H0_S1,L2_H1_S3
2,0.578541699998823,130.003297699999,134.003311,136.581839799999,23,24,L2_H1_S3,L2_H1_S3
0,NaN,134.003311,138.0033573,1.4883432000006,24,12,L2_H1_S3,L1_H1_S3
2,0.0903343999998469,138.0033573,142.0034428,144.093760099999,12,9,L1_H1_S3,L1_H1_S2
0,NaN,142.0034428,146.003539399999,1.48823029999949,9,15,L1_H1_S2,L2_H0_S2
2,0.594154800000979,146.003539399999,150.003529,152.5976954,15,5,L2_H0_S2,L1_H0_S3
0,NaN,150.003529,154.0035916,1.48811879999994,5,19,L1_H0_S3,L2_H1_S1
1,0.60215270000117,154.0035916,158.003672499999,160.605769,19,3,L2_H1_S1,L1_H0_S2
0,NaN,158.003672499999,162.003687299999,1.48802310000065,3,6,L1_H0_S2,L1_H0_S3
2,0.722158700000364,162.003687299999,166.003739599999,168.725876799999,6,25,L1_H0_S3,L3_H0_S1
0,NaN,166.003739599999,170.003812699999,1.48793239999941,25,10,L3_H0_S1,L1_H1_S2
0,NaN,170.003812699999,174.0038334,1.48787570000059,10,42,L1_H1_S2,
1,0.513853000000381,174.0038334,178.003881099999,180.517717499999,42,7,,L1_H1_S1
0,NaN,178.003881099999,182.0039093,1.48780289999922,7,33,L1_H1_S1,L3_H1_S2
0,NaN,182.0039093,186.0039254,1.48774480000066,33,38,L3_H1_S2,
1,0.521766699999716,186.0039254,190.0040001,192.525790099999,38,35,,L3_H1_S3
0,NaN,190.0040001,194.0040727,1.48766230000001,35,19,L3_H1_S3,L2_H1_S1
2,0.969627899999978,194.0040727,198.004130699999,200.9737427,19,1,L2_H1_S1,L1_H0_S1
0,NaN,198.004130699999,202.004179899999,1.48756870000034,1,3,L1_H0_S1,L1_H0_S2
2,0.617517299999236,202.004179899999,206.0042251,208.621728299999,3,24,L1_H0_S2,L2_H1_S3
0,NaN,206.0042251,210.004275199999,1.48744009999973,24,39,L2_H1_S3,
0,NaN,210.004275199999,214.0043257,1.48741169999994,39,6,,L1_H0_S3
2,0.505377999999837,214.0043257,218.004402499999,220.5097338,6,20,L1_H0_S3,L2_H1_S1
0,NaN,218.004402499999,222.004424499999,1.48730120000073,20,23,L2_H1_S1,L2_H1_S3
2,0.473287299999356,222.004424499999,226.004441499999,228.477745299999,23,34,L2_H1_S3,L3_H1_S2
0,NaN,226.004441499999,230.0045918,1.48724749999928,34,18,L3_H1_S2,L2_H0_S3
1,0.513151600000128,230.0045918,234.004537999999,236.5177895,18,5,L2_H0_S3,L1_H0_S3
0,NaN,234.004537999999,238.004584499999,1.4871404000005,5,8,L1_H0_S3,L1_H1_S1
0,NaN,238.004584499999,242.004650699999,1.48701980000078,8,37,L1_H1_S1,
2,0.720982300001197,242.004650699999,246.004739299999,248.725703,37,32,,L3_H1_S1
0,NaN,246.004739299999,250.004777299999,1.48694439999963,32,17,L3_H1_S1,L2_H0_S3
2,0.496940699998959,250.004777299999,254.0048145,256.501740399999,17,27,L2_H0_S3,L3_H0_S2
0,NaN,254.0048145,258.0049545,1.48677230000067,27,13,L3_H0_S2,L2_H0_S1
2,0.6887870999999,258.0049545,262.0049129,264.693689,13,36,L2_H0_S1,L3_H1_S3
0,NaN,262.0049129,266.004960599999,1.48677560000033,36,11,L3_H1_S3,L1_H1_S3
1,1.24073940000017,266.004960599999,270.0050154,273.2457326,11,7,L1_H1_S3,L1_H1_S1
0,NaN,270.0050154,274.0050732,1.4866832000007,7,28,L1_H1_S1,L3_H0_S2
2,0.632460500000889,274.0050732,278.005081199999,280.6375494,28,22,L3_H0_S2,L2_H1_S2
0,NaN,278.005081199999,282.0051238,1.48658959999921,22,16,L2_H1_S2,L2_H0_S2
1,0.536532899999656,282.0051238,286.005174899999,288.541696999999,16,26,L2_H0_S2,L3_H0_S1
0,NaN,286.005174899999,290.005223799999,1.48639879999973,26,12,L3_H0_S1,L1_H1_S3
0,NaN,290.005223799999,294.005352599999,1.48642120000113,12,42,L1_H1_S3,
0,NaN,294.005352599999,298.005350199999,1.4863822999996,42,41,,
0,NaN,298.005350199999,302.0054342,1.48634709999897,41,40,,
1,0.600224499999968,302.0054342,306.0054595,308.605676699999,40,21,,L2_H1_S2
0,NaN,306.0054595,310.0055696,1.48620570000094,21,4,L2_H1_S2,L1_H0_S2
1,0.656100399999559,310.0055696,314.005569699999,316.6616268,4,2,L1_H0_S2,L1_H0_S1
0,NaN,314.005569699999,318.005593099999,1.48612839999987,2,31,L1_H0_S1,L3_H1_S1
2,0.632053999999698,318.005593099999,322.0056449,324.6376819,31,10,L3_H1_S1,L1_H1_S2
0,NaN,322.0056449,326.0056941,1.48602990000109,10,29,L1_H1_S2,L3_H0_S3
1,0.631827299999713,326.0056941,330.005742899999,332.637539399999,29,15,L3_H0_S3,L2_H0_S2
0,NaN,330.005742899999,334.0058916,1.4859493999993,15,30,L2_H0_S2,L3_H0_S3
2,0.679835300001287,334.0058916,338.0058073,340.6856279,30,14,L3_H0_S3,L2_H0_S1
0,NaN,338.0058073,342.005889399999,1.48578850000013,14,43,L2_H0_S1,
0,NaN,342.005889399999,346.005935899999,1.48579160000008,43,25,,L3_H0_S1
2,0.671608900000138,346.005935899999,350.00599,352.677573199999,25,9,L3_H0_S1,L1_H1_S2
